year,month,product,weighted_avg_price,date,prev_month_price,monthly_change,prev_year_price,yearly_change,ma_3,ma_6,ma_12,volatility
2023,3,포도,5323.1352536657605,2023-03-01,5471.852530039462,-0.027178597295389628,5207.041083660281,0.022295612448648194,5417.107493497707,5363.95848525794,5945.585668821124,81.75137418713277
2023,4,포도,4996.699141281503,2023-04-01,5323.1352536657605,-0.061324031201247076,5413.3026539949215,-0.07695921313506682,5263.895641662242,5434.589708262971,5910.868709428339,243.05284288564263
2023,5,포도,5010.43548931211,2023-05-01,4996.699141281503,0.00274908447401212,5052.854797325748,-0.00839511715952912,5110.089961419792,5270.342910743081,5907.333767093868,184.63042605550376
2023,6,포도,7524.5823528552,2023-06-01,5010.43548931211,0.501782104351225,6211.890352344094,0.21131924841779504,5843.905661149605,5630.506577323656,6016.724767136461,1455.5249150551008
2023,7,포도,9599.69099152478,2023-07-01,7524.5823528552,0.27577725132906283,10250.113538694437,-0.06345515537113766,7378.236277897363,6321.065959779803,5962.522888205657,2298.125191626643
2023,8,포도,6984.975769350198,2023-08-01,9599.69099152478,-0.2723749362852429,6691.082177838037,0.04392317770144638,8036.416371243392,6573.253166331592,5987.01402083167,1380.4580653002201
2023,9,포도,5476.971514194368,2023-09-01,6984.975769350198,-0.21589255352508074,5544.033594108611,-0.0120962614630451,7353.879425023116,6598.89254308636,5981.4255141721505,2085.9701346295737
2023,10,포도,4132.012041968253,2023-10-01,5476.971514194368,-0.24556627120306496,4572.911803251319,-0.09641554008751896,5531.31977517094,6454.778026534151,5944.683867398561,1427.258143274249
2023,11,포도,5472.832914211123,2023-11-01,4132.012041968253,0.3244958772201887,5995.91627443145,-0.08723993736385638,5027.272156791248,6531.84426401732,5901.093587380201,775.3207638759076
2023,12,포도,6008.448068489978,2023-12-01,5472.832914211123,0.09786798951746567,5363.600353371756,0.12022665236660446,5204.431008223118,6279.155216623116,5954.830896973385,966.5830164867679
2024,1,포도,7364.941855186815,2024-01-01,6008.448068489978,0.22576441890388943,5456.334696787895,0.3497965693934617,6282.074279295972,5906.697027233456,6113.881493506629,975.280748584774
2024,2,포도,8165.06129176146,2024-02-01,7364.941855186815,0.10863893460491547,5471.852530039462,0.49219322833296,7179.483738479418,6103.377947635333,6338.315556983463,1090.2023589622472
2024,3,포도,7372.220717504249,2024-03-01,8165.06129176146,-0.09710160719273309,5323.1352536657605,0.3849395828196158,7634.074621484174,6419.252814853647,6509.072678970002,459.8623473043685
2024,4,포도,6389.816425967727,2024-04-01,7372.220717504249,-0.1332575799316409,4996.699141281503,0.27880751778241564,7309.032811744478,6795.553545520226,6625.165786027188,889.3076615870839
2024,5,포도,7014.100218433324,2024-05-01,6389.816425967727,0.09769980087824659,5010.43548931211,0.39989831889768523,6925.379120635099,7052.4314295572585,6792.13784678729,497.17514308666074
2024,6,포도,8404.59611314543,2024-06-01,7014.100218433324,0.19824294655183694,7524.5823528552,0.1169518411817645,7269.504252515493,7451.789436999835,6865.472326811476,1031.3863061118568
2024,7,포도,7958.229562604252,2024-07-01,8404.59611314543,-0.053109815692752416,9599.69099152478,-0.17099106943855946,7792.308631394335,7550.670721569408,6728.683874401431,709.9415644001866
