MTC_NM,PDLT_NM,VOLUME_KG,rank
부산 금정구,당근,2104154.0,1
부산 기장군,당근,3676278.0,1
부산 기장군,무,3284616.3,2
부산 기장군,토마토,1654664.42,3
부산 남구,오렌지,780750.0,1
부산 남구,바나나,178329.0,2
부산 남구,석류,87598.0,3
부산 동구,호박,418990.0,1
부산 동구,포도,67266.0,2
부산 부산진구,당근,1076657.0,1
부산 부산진구,배추,209847.0,2
부산 부산진구,수박,206776.0,3
부산 북구,당근,3374039.2,1
부산 북구,호박,605303.0,2
부산 북구,방아,178881.8,3
부산 사상구,양파,5754145.0,1
부산 사상구,배추,4307751.0,2
부산 사상구,무,3891445.3,3
부산 사하구,양파,168496.0,1
부산 사하구,대파,26617.04,2
부산 사하구,배추,22654.0,3
부산 서구,오렌지,23184.0,1
부산 중구,호박,211248.0,1
부산 해운대구,배추,3673846.21,1
부산 해운대구,양파,2250419.0,2
부산 해운대구,대파,1565333.57,3
서울 강남구,바나나,6532055.45,1
서울 강남구,파인애플,988097.0,2
서울 강남구,오렌지,170769.0,3
서울 강동구,열무,82335.0,1
서울 강동구,치커리,60786.0,2
서울 강동구,대파,60400.0,3
서울 강서구,바나나,4113562.0,1
서울 강서구,무,567252.0,2
서울 강서구,수박,505978.0,3
서울 도봉구,오이,752912.0,1
서울 도봉구,호박,311126.3,2
서울 동대문구,토마토,1005683.4,1
서울 동대문구,단감,319666.0,2
서울 동대문구,포도,117010.0,3
서울 마포구,대파,48672.0,1
서울 서초구,오렌지,158206.0,1
서울 서초구,포도,65172.6,2
서울 서초구,파인애플,18134.0,3
서울 성북구,대파,116697.0,1
서울 송파구,배추,11522421.99,1
서울 송파구,무,4471203.39,2
서울 송파구,청경채,4399363.67,3
서울 영등포구,토마토,22903.0,1
서울 용산구,마늘,98000.0,1
서울 은평구,시금치,135683.5,1
서울 은평구,열무,126022.0,2
서울 은평구,얼갈이배추,112474.0,3
서울 중구,마늘,2063835.35,1
서울 중구,메론,1143285.0,2
서울 중구,참외,441830.0,3
서울 중랑구,시금치,224929.4,1
서울 중랑구,얼갈이배추,158193.5,2
서울 중랑구,열무,147416.5,3
세종시 세종시,배,1040100.0,1
세종시 세종시,대파,683281.0,2
세종시 세종시,오이,482102.0,3
울산 남구,수박,3812806.6,1
울산 남구,대파,1522565.0,2
울산 남구,당근,1156691.0,3
울산 동구,무,307840.0,1
울산 북구,부추,1941182.7,1
울산 북구,미나리,61164.0,2
울산 북구,딸기,25368.75,3
울산 울주군,배,4050109.6,1
울산 울주군,단감,1770547.0,2
울산 울주군,부추,1391990.77,3
울산 중구,부추,868124.6,1
울산 중구,배,148897.5,2
울산 중구,오이,94968.1,3
인천 강화군,오이,3901420.0,1
인천 강화군,방울토마토,2127710.25,2
인천 강화군,포도,528032.0,3
인천 계양구,대파,724824.0,1
인천 계양구,근대,276566.0,2
인천 계양구,시금치,153266.5,3
인천 남구,파프리카,415501.5,1
인천 남구,배추,38170.0,2
인천 남구,수박,27596.0,3
인천 남동구,대파,841930.9,1
인천 남동구,토마토,484636.5,2
인천 남동구,무,375532.2,3
인천 동구,대파,748292.0,1
인천 동구,열무,354971.8,2
인천 동구,치커리,264609.8,3
인천 부평구,당근,1414337.3,1
인천 부평구,포도,209813.0,2
인천 부평구,어묵_어분_어비,112501.8,3
인천 서구,대파,232185.5,1
인천 서구,미나리,133007.5,2
인천 서구,무,67744.0,3
인천 연수구,수박,44288.0,1
인천 연수구,메론,43858.0,2
인천 연수구,절임식품,40373.0,3
인천 옹진군,포도,87458.0,1
인천 옹진군,호박,28707.3,2
인천 옹진군,파프리카,23785.0,3
인천 중구,당근,95970.0,1
인천 중구,감자,22160.0,2
전남 강진군,호박,1623658.0,1
전남 강진군,표고버섯,317365.0,2
전남 강진군,파프리카,118773.0,3
전남 고흥군,양파,12872035.0,1
전남 고흥군,오이,5718569.0,2
전남 고흥군,방울토마토,1645813.0,3
전남 곡성군,메론,5117233.5,1
전남 곡성군,팽이버섯,3691965.0,2
전남 곡성군,수박,1961589.0,3
전남 광양시,호박,10180653.4,1
전남 광양시,매실,2249467.2,2
전남 광양시,토마토,2007839.0,3
전남 구례군,오이,4493346.0,1
전남 구례군,호박,3359785.0,2
전남 구례군,단감,527898.9,3
전남 나주시,배,29899462.71,1
전남 나주시,수박,9850750.5,2
전남 나주시,팽이버섯,9520802.5,3
전남 담양군,딸기,7714437.7,1
전남 담양군,방울토마토,2992606.5,2
전남 담양군,메론,2144452.1,3
전남 목포시,고구마,4393279.4,1
전남 목포시,양파,958554.5,2
전남 목포시,배추,295603.0,3
전남 무안군,양파,139076361.3,1
전남 무안군,양배추,38650405.0,2
전남 무안군,무,5504030.0,3
전남 보성군,쪽파,8494297.94,1
전남 보성군,감자,4358570.75,2
전남 보성군,토마토,1258818.0,3
전남 순천시,오이,17538270.2,1
전남 순천시,배,4941936.54,2
전남 순천시,매실,2835232.2,3
전남 신안군,대파,15881699.7,1
전남 신안군,양파,9932920.88,2
전남 신안군,시금치,4847888.7,3
전남 여수시,양파,4825475.95,1
전남 여수시,옥수수,2535890.8,2
전남 여수시,갓,1755293.0,3
전남 영광군,대파,3525384.0,1
전남 영광군,양파,2267969.0,2
전남 영광군,배추,838988.0,3
전남 영암군,고구마,26336379.5,1
전남 영암군,무,6026124.6,2
전남 영암군,알타리무,2477223.0,3
전남 완도군,봄동배추,6062067.4,1
전남 완도군,배추,735685.1,2
전남 완도군,마늘,717474.45,3
전남 장성군,단감,2025501.0,1
전남 장성군,떫은감,1720722.3,2
전남 장성군,딸기,1280070.5,3
전남 장흥군,양파,927210.0,1
전남 장흥군,감자,813310.0,2
전남 장흥군,쪽파,267715.9,3
전남 진도군,대파,19228389.4,1
